CAND_ID,CAND_NAME,OFFICE_NAME,CAND_PTY_AFFILIATION,CAND_OFFICE_ST,CAND_ICI,TTL_RECEIPTS,TTL_DISB,TTL_INDIV_CONTRIB,CAND_CONTRIB,CAND_LOANS,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,COH_COP,DEBTS_OWED_BY
H2AK00200,"CONSTANT, CHRISTOPHER",House,DEM,AK,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143180.09
H2AK01158,"PELTOLA, MARY",House,DEM,AK,I,13443537.46,14050828.27,10800004.13,0.0,0.0,1615986.3,9969.28,83969.49,0.0
H2AK00226,"PALIN, SARAH",House,REP,AK,O,3866.49,50246.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H2AK01083,"BEGICH, NICHOLAS III",House,REP,AK,C,2810467.65,2747371.58,2309088.23,599.0,0.0,318750.0,5000.0,104330.06,425000.0
H4AK00156,"DAHLSTROM, NANCY",House,REP,AK,C,996163.6,790351.61,286828.61,0.0,0.0,262916.02,0.0,205811.99,0.0
H4AL01255,"HOLMES, THOMAS BETHUNE MR.",House,DEM,AL,C,17698.86,16817.5,3076.82,10115.56,2500.0,2002.63,0.0,410.16,0.0
H0AL01055,"CARL, JERRY LEE, JR",House,REP,AL,I,2246839.19,2631446.59,1063039.38,0.0,0.0,634500.0,0.0,69290.42,254535.87
H8AL02171,"MOORE, FELIX BARRY",House,REP,AL,I,1130187.3,1467853.12,649617.39,0.0,20000.0,389496.99,0.0,125131.66,0.0
H0AL01097,"AVERHART, JAMES",House,DEM,AL,C,8876.56,6240.74,3718.34,0.0,5158.22,0.0,0.0,2757.53,34403.22
H0AL02202,"HARVEY-HALL, PHYLLIS",House,DEM,AL,C,16284.0,5610.17,6279.0,4800.0,5205.0,0.0,0.0,10894.41,6405.0
H2AL02166,"PATEL, VIMAL",House,DEM,AL,C,16300.0,11218.68,9200.0,0.0,7100.0,0.0,0.0,-4100.0,13772.32
H4AL02097,"COLEMAN, MERIKA",House,DEM,AL,C,142030.8,110017.47,91830.8,200.0,50000.0,0.0,0.0,32013.33,50000.0
H4AL02113,"GRAY, JEREMY",House,DEM,AL,C,163092.8,162341.36,141661.3,19537.0,0.0,1250.0,0.0,751.44,3447.05
H4AL02162,"DANIELS, ANTHONY",House,DEM,AL,C,567548.46,563961.06,523686.34,0.0,0.0,42500.0,0.0,3587.4,56311.73
H4AL02170,"FIGURES, SHOMARI C.",House,DEM,AL,C,2628628.73,2605519.86,1875364.5,3485.0,25000.0,613861.12,5426.12,23108.87,12000.0
H4AL02196,"GIVAN, JUANDALYNN MS.",House,DEM,AL,C,150251.27,126936.76,95416.27,23575.0,31200.0,0.0,0.0,23314.51,24500.0
H4AL02212,"LENARD, WILLIE JAMES",House,DEM,AL,C,53721.0,56744.05,1611.0,9000.0,43110.0,0.0,0.0,-3023.05,43110.0
H4AL02246,"BRACY, NAPOLEON",House,DEM,AL,C,202592.38,200878.7,121792.38,0.0,70000.0,10800.0,0.0,1713.68,84659.73
H4AL02121,"BREWBAKER, DICK LANSDEN",House,REP,AL,C,2129338.39,2129338.39,181769.18,0.0,1940000.0,2500.0,5000.0,0.0,0.0
H4AL02139,"HARRIS, HAMPTON SCOTT",House,REP,AL,C,58137.92,56310.54,6726.6,0.0,48603.0,1000.0,0.0,1827.38,67686.15
H4AL02188,"ALBRITTON, GREGORY",House,REP,AL,C,187965.45,187965.45,113065.45,10000.0,50000.0,14900.0,0.0,0.0,0.0
H4AL02204,"GILBERRY, WALLACE",House,REP,AL,C,165335.64,165335.64,165335.64,0.0,0.0,0.0,0.0,0.0,0.0
H4AL02220,"DOBSON, CAROLEENE",House,REP,AL,C,3857871.22,3854940.03,1226100.44,0.0,2138000.0,410249.98,20000.0,2931.19,2138000.0
H2AL02190,"SMITH, JONATHAN",House,LIB,AL,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-296.53,0.0
H8AL03062,"WINFREY, ADIA",House,DEM,AL,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H2AL03032,"ROGERS, MICHAEL",House,REP,AL,I,2931555.95,2037556.65,1640962.27,0.0,0.0,1080897.01,14000.0,1922334.3,0.0
H4AL03087,"BEVELS, BARRON RAE",House,REP,AL,C,270.0,3816.65,0.0,200.0,0.0,0.0,0.0,479.07,0.0
