CMTE_ID,CMTE_NM,CMTE_TP,CMTE_DSGN,TTL_RECEIPTS,TTL_DISB,INDV_CONTRIB,OTHER_POL_CMTE_CONTRIB,CAND_CONTRIB,CAND_LOANS,CONTRIB_TO_OTHER_CMTE,IND_EXP,COH_COP,DEBTS_OWED_BY,CVG_END_DT,CMTE_TP_DESC,CATEGORY
C00000059,"HALLMARK CARDS, INC. PAC (HALLPAC)",Q,B,95727.18,117500.0,91727.18,0.0,0.0,0.0,102500.0,0.0,144285.41,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00000422,AMERICAN MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE,Q,B,2096337.89,2621577.12,1666298.01,0.0,0.0,0.0,1475650.0,835000.0,488089.41,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00000489,D R I V E POLITICAL FUND CHAPTER 886,N,U,93817.8,27426.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12/31/2024,PAC - Nonqualified,Traditional PACs
C00000729,AMERICAN DENTAL ASSOCIATION POLITICAL ACTION COMMITTEE,Q,B,2228046.98,2617456.75,2118774.56,0.0,0.0,0.0,2544500.0,0.0,117462.0,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00000885,INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES POLITICAL ACTION TOGETHER POLITICAL COMMITTEE,Q,B,5525285.55,3244535.22,5306388.9,0.0,0.0,0.0,1912443.65,0.0,5614879.95,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00000901,BUILD POLITICAL ACTION COMMITTEE OF THE NATIONAL ASSOCIATION OF HOME BUILDERS (BUILDPAC),Q,B,3501885.39,3259712.06,3367169.02,13000.0,0.0,0.0,3049500.0,0.0,814872.98,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00000935,DCCC,Y,U,339935852.88,331933274.36,174592917.63,60327399.69,0.0,0.0,604424.67,74258192.57,24232592.09,20000000.0,12/31/2024,Party - Qualified,Party Committees
C00000984,UNITED STATES TELECOM ASSOCIATION POLITICAL ACTION COMMITTEE (TELECOMPAC),Q,B,180651.77,150000.0,128799.61,51500.0,0.0,0.0,150000.0,0.0,75985.04,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00001016,CARPENTERS LEGISLATIVE IMPROVEMENT COMMITTEE UNITED BROTHERHOOD OF CARPENTERS AND JOINERS,Q,B,2786931.99,3780068.11,2768520.6,2411.39,0.0,0.0,3404500.0,2519.11,333613.53,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00001180,MICHIGAN DOCTORS POLITICAL ACTION COMMITTEE - MICHIGAN STATE MEDICAL SOCIETY,Q,U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20611.5,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00001198,AMERICAN HOTEL AND LODGING ASSOCIATION POLITICAL ACTION COMMITTEE ('HOTELPAC'),W,B,2092482.08,1851756.82,2023398.09,35500.0,0.0,0.0,1733750.0,0.0,895072.57,0.0,12/31/2024,PAC with Non-Contribution Account - Qualified,Traditional PACs
C00001214,TEXAS MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE,Q,B,61041.4,28370.42,61041.4,0.0,0.0,0.0,22000.0,0.0,64482.87,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00001305,REPUBLICAN PARTY OF VIRGINIA INC,Y,U,7000907.43,6870192.95,1344155.68,328797.07,0.0,0.0,0.0,0.0,142690.1,0.0,12/31/2024,Party - Qualified,Party Committees
C00001313,REPUBLICAN PARTY OF MINNESOTA - FEDERAL,Y,U,7945329.51,7813039.64,3491902.81,584242.31,0.0,0.0,0.0,0.0,68395.09,0.0,12/31/2024,Party - Qualified,Party Committees
C00001388,"DAIRY FARMERS OF AMERICA, INC. POLITICAL ACTION COMMITTEE; AKA DFA-PAC",Q,B,427471.35,409915.6,353835.17,0.0,0.0,0.0,390800.0,0.0,1942315.14,0.0,12/31/2024,PAC - Qualified,Traditional PACs
