CMTE_ID,CMTE_NM,TTL_DISBURSEMENTS,CANDIDATE_DIRECT_RATE,NON_CANDIDATE_RATE,ATTACK_RATE,Q4_CONCENTRATION,PTY_GROUP,OFFICE_SEGMENT
C00322958,MONTANA SHOOTING SPORTS ASSN POLITICAL COMMITTEE,0.0,0.0,0.0,0,0.0,,OTHER
C00381517,DEMOCRATIC ADVANCEMENT PAC,,0.0,0.0,0,0.0,,OTHER
C00389858,FAIR AND BALANCED PAC,0.0,0.0,0.0,0,0.0,,OTHER
C00405878,AMERICANS FOR LEGAL IMMIGRATION PAC,0.0,0.0,0.0,0,0.0,,OTHER
C00419242,TEXAS RIGHT TO LIFE POLITICAL ACTION C,0.0,0.0,0.0,0,0.0,,OTHER
C00427344,DRAFT GORE,,0.0,0.0,0,0.0,,OTHER
C00430876,WORKING FOR US POLITICAL ACTION COMMITTEE INC,0.0,0.0,0.0,0,0.0,,OTHER
C00435818,YOUNG VOTERS,,0.0,0.0,0,0.0,,OTHER
C00447235,ASIAN PACIFIC AMERICANS FOR PROGRESS PAC,0.0,0.0,0.0,0,0.0,,OTHER
C00452847,SCHLEP LABS,0.0,1.0,0.0,0,0.0,NON_PARTISAN,OTHER
C00455923,FEDUP POLITICAL ACTION COMMITTEE AKA FEDUP PAC,0.0,1.0,0.0,0,0.0,REP,OTHER
C00469890,PATRIOT MAJORITY PAC,0.0,0.0,0.0,0,0.0,,OTHER
C00473918,WOMEN VOTE,26409657.61,1.0,0.0,0,0.22924725845335336,BIPARTISAN,OTHER
C00479824,KEEP LIVINGSTON GREAT,11822.88,0.9985722598892994,0.0014277401107005705,0,0.028036591563611723,REP,OTHER
C00483693,SIERRA CLUB INDEPENDENT ACTION,41336.14,1.0,0.0,0,0.40052685832092544,DEM,OTHER
C00483883,RETIRED AMERICANS PAC,4187460.44,1.0,0.0,0,0.5982749522000795,BIPARTISAN,OTHER
C00484253,UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION WORKING FAMILIES ADVOCACY PROJECT,0.0,1.0,0.0,0,0.2006823198876179,NON_PARTISAN,OTHER
C00484642,SMP,0.0,1.0,0.0,0,0.5216108682204184,NON_PARTISAN,OTHER
C00485102,WOLF PAC,0.0,0.0,0.0,0,0.0,,OTHER
C00485854,LOUISIANA TRUTH PAC,0.0,0.0,0.0,0,0.0,,OTHER
C00486845,LCV VICTORY FUND,46685018.06,1.0,0.0,0,0.4775930083026197,BIPARTISAN,OTHER
C00487363,AMERICAN CROSSROADS,60267523.21,1.0,0.0,0,0.6263765710568724,DEM,OTHER
C00487470,CLUB FOR GROWTH ACTION,18476694.08,1.0,0.0,0,0.24107803953785711,BIPARTISAN,OTHER
C00487827,BLUE AMERICA PAC INDEPENDENT EXPENDITURE COMMITTEE,2816.41,0.9980791149015946,0.0019208850984053782,0,0.0,DEM,OTHER
C00488338,ADPAC INDEPENDENT EXPENDITURES COMMITTEE,97417.12,1.0,0.0,0,0.0016522535354563028,REP,OTHER
C00488403,TEXAS PATRIOTS PAC,650.28,1.0,0.0,0,0.9674365770541462,REP,OTHER
C00488429,CITIZENS FOR STRENGTH AND SECURITY PAC,0.0,0.0,0.0,0,0.0,,OTHER
C00488437,CONCERNED TAXPAYERS OF AMERICA,,0.0,0.0,0,0.0,,OTHER
C00488486,COMMUNICATIONS WORKERS OF AMERICA - WORKING VOICES,436168.95,1.0,0.0,0,0.26282057942101106,DEM,OTHER
C00488494,NEW PROSPERITY FOUNDATION; THE,8000.0,1.0,0.0,0,1.0,DEM,OTHER
C00488742,NATIONAL ASSOCIATION OF REALTORS CONGRESSIONAL FUND,11750451.66,1.0,0.0,0,0.39849624060150374,BIPARTISAN,OTHER
C00488783,SPEECHNOW.ORG,0.0,0.0,0.0,0,0.0,,OTHER
C00489203,UNITED MINE WORKERS OF AMERICA POWER PAC,0.0,0.0,0.0,0,0.0,,OTHER
C00489252,NEW POWER PAC,614.89,0.9936736652084113,0.006326334791588728,0,1.0,DEM,OTHER
C00489617,CAMPAIGN FOR AMERICAN VALUES PAC,0.0,0.0,0.0,0,0.0,,OTHER
C00489625,FAITH FAMILY FREEDOM FUND,0.0,0.0,0.0,0,0.0,,OTHER
C00489641,ACCOUNTABILITY 2010,0.0,0.0,0.0,0,0.0,,OTHER
C00490136,THE LINCOLN CLUB OF ORANGE COUNTY FEDERAL IE COMMITTEE,0.0,0.0,0.0,0,0.0,,OTHER
C00490193,WORKING FAMILIES FOR HAWAII,0.0,0.0,0.0,0,0.0,,OTHER
C00490375,NATIONAL NURSES UNITED FOR PATIENT PROTECTION,9510616.89,1.0,0.0,0,0.2092102169224488,DEM,OTHER
C00490649,U.S. ISRAEL FRIENDSHIP PAC,0.0,0.0,0.0,0,0.0,,OTHER
C00490730,RGA RIGHT DIRECTION PAC,0.0,0.0,0.0,0,0.0,,OTHER
C00490847,WORKING FOR WORKING AMERICANS - FEDERAL,0.0,1.0,0.0,0,0.10092334120678548,NON_PARTISAN,OTHER
C00492116,COOPERATIVE OF AMERICAN PHYSICIANS INDEPENDENT EXPENDITURE COMMITTEE,150244.1,0.9999926785810557,7.321418944328251e-06,0,0.6655884134368989,DEM,OTHER
C00492215,CHRISTINEPAC,0.0,0.0,0.0,0,0.0,,OTHER
C00494997,DOWNTOWN FOR DEMOCRACY,0.0,0.0,0.0,0,0.0,,OTHER
C00495259,"IMMIGRATION911,  LLC",,0.0,0.0,0,0.0,,OTHER
C00496349,REPUBLICAN SUPER PAC INC,0.0,0.0,0.0,0,0.0,,OTHER
C00498832,GOVERNMENT INTEGRITY FUND ACTION NETWORK; THE,,0.0,0.0,0,0.0,,OTHER
C00499525,KEEP CONSERVATIVES UNITED,0.0,0.0,0.0,0,0.0,,OTHER
C00502377,TEXANS FOR AMERICA'S FUTURE,,0.0,0.0,0,0.0,,OTHER
C00502849,CAMPAIGN FOR PRIMARY ACCOUNTABILITY INC,0.0,0.0,0.0,0,0.0,,OTHER
C00503458,"LA FORWARD, INC.",0.0,0.0,0.0,0,0.0,,OTHER
C00503789,DGA ACTION,0.0,0.0,0.0,0,0.0,,OTHER
C00503870,COMMONWEALTH VALUES PAC,0.0,0.0,0.0,0,0.0,,OTHER
C00505792,AMERICAN CONSERVATIVE UNION SUPER PAC,0.0,0.0,0.0,0,0.0,,OTHER
