CMTE_ID,CMTE_NM,TTL_RECEIPTS,TTL_DISBURSEMENTS,MEGADONOR_RECEIPTS,MEGADONOR_DEPENDENCY,DEPENDENCY_CLASS,PTY_GROUP
C00322958,MONTANA SHOOTING SPORTS ASSN POLITICAL COMMITTEE,2515.81,0.0,,0.0,BROAD_BASED,
C00381517,DEMOCRATIC ADVANCEMENT PAC,,,,0.0,BROAD_BASED,
C00389858,FAIR AND BALANCED PAC,0.2,0.0,,0.0,BROAD_BASED,
C00405878,AMERICANS FOR LEGAL IMMIGRATION PAC,128228.63,0.0,,0.0,BROAD_BASED,
C00419242,TEXAS RIGHT TO LIFE POLITICAL ACTION C,0.0,0.0,,0.0,BROAD_BASED,
C00427344,DRAFT GORE,,,,0.0,BROAD_BASED,
C00430876,WORKING FOR US POLITICAL ACTION COMMITTEE INC,0.0,0.0,,0.0,BROAD_BASED,
C00435818,YOUNG VOTERS,,,,0.0,BROAD_BASED,
C00447235,ASIAN PACIFIC AMERICANS FOR PROGRESS PAC,0.0,0.0,,0.0,BROAD_BASED,
C00452847,SCHLEP LABS,550506.01,0.0,,0.0,BROAD_BASED,NON_PARTISAN
C00455923,FEDUP POLITICAL ACTION COMMITTEE AKA FEDUP PAC,225721.25,0.0,0.0,0.0,BROAD_BASED,REP
C00469890,PATRIOT MAJORITY PAC,12827.07,0.0,,0.0,BROAD_BASED,
C00473918,WOMEN VOTE,32504380.87,26409657.61,26200252.0,0.9915639534243427,MEGADONOR_DEPENDENT,BIPARTISAN
C00479824,KEEP LIVINGSTON GREAT,165.24,11822.88,0.0,0.0,BROAD_BASED,REP
C00483693,SIERRA CLUB INDEPENDENT ACTION,787317.99,41336.14,0.0,0.0,BROAD_BASED,DEM
C00483883,RETIRED AMERICANS PAC,10615832.14,4187460.44,3502950.0,0.8365341629858319,MEGADONOR_DEPENDENT,BIPARTISAN
C00484253,UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION WORKING FAMILIES ADVOCACY PROJECT,7377000.0,0.0,,0.0,BROAD_BASED,NON_PARTISAN
C00484642,SMP,389968278.37,0.0,,0.0,BROAD_BASED,NON_PARTISAN
C00485102,WOLF PAC,217111.48,0.0,,0.0,BROAD_BASED,
C00485854,LOUISIANA TRUTH PAC,0.0,0.0,,0.0,BROAD_BASED,
C00486845,LCV VICTORY FUND,84323489.3,46685018.06,45838810.0,0.9268959011453609,MEGADONOR_DEPENDENT,BIPARTISAN
C00487363,AMERICAN CROSSROADS,62899589.74,60267523.21,59869826.0,0.9934019797611554,MEGADONOR_DEPENDENT,DEM
