CMTE_ID,CMTE_NM,TTL_DISBURSEMENTS,TOTAL_TRANS_AMT,TRANSACTION_COUNT,AVG_TRANSACTION_SIZE,EFFICIENCY_CLASS,PTY_GROUP
C00322958,MONTANA SHOOTING SPORTS ASSN POLITICAL COMMITTEE,0.0,0.0,0.0,0.0,INEFFICIENT,
C00381517,DEMOCRATIC ADVANCEMENT PAC,,0.0,0.0,0.0,INEFFICIENT,
C00389858,FAIR AND BALANCED PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00405878,AMERICANS FOR LEGAL IMMIGRATION PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00419242,TEXAS RIGHT TO LIFE POLITICAL ACTION C,0.0,0.0,0.0,0.0,INEFFICIENT,
C00427344,DRAFT GORE,,0.0,0.0,0.0,INEFFICIENT,
C00430876,WORKING FOR US POLITICAL ACTION COMMITTEE INC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00435818,YOUNG VOTERS,,0.0,0.0,0.0,INEFFICIENT,
C00447235,ASIAN PACIFIC AMERICANS FOR PROGRESS PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00452847,SCHLEP LABS,0.0,500000.0,2.0,250000.0,EFFICIENT,NON_PARTISAN
C00455923,FEDUP POLITICAL ACTION COMMITTEE AKA FEDUP PAC,0.0,82095.0,32.0,2565.46875,MODERATE,REP
C00469890,PATRIOT MAJORITY PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00473918,WOMEN VOTE,26409657.61,41528229.0,165.0,251686.23636363636,EFFICIENT,BIPARTISAN
C00479824,KEEP LIVINGSTON GREAT,11822.88,11806.0,37.0,319.0810810810811,INEFFICIENT,REP
C00483693,SIERRA CLUB INDEPENDENT ACTION,41336.14,43825.0,252.0,173.90873015873015,INEFFICIENT,DEM
C00483883,RETIRED AMERICANS PAC,4187460.44,4987456.0,26.0,191825.23076923078,EFFICIENT,BIPARTISAN
C00484253,UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION WORKING FAMILIES ADVOCACY PROJECT,0.0,3891500.0,28.0,138982.14285714287,EFFICIENT,NON_PARTISAN
C00484642,SMP,0.0,386542977.0,179.0,2159457.972067039,EFFICIENT,NON_PARTISAN
C00485102,WOLF PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00485854,LOUISIANA TRUTH PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00486845,LCV VICTORY FUND,46685018.06,80136108.0,946.0,84710.47357293869,EFFICIENT,BIPARTISAN
C00487363,AMERICAN CROSSROADS,60267523.21,61567472.0,158.0,389667.5443037975,EFFICIENT,DEM
C00487470,CLUB FOR GROWTH ACTION,18476694.08,77693925.0,476.0,163222.53151260506,EFFICIENT,BIPARTISAN
C00487827,BLUE AMERICA PAC INDEPENDENT EXPENDITURE COMMITTEE,2816.41,2811.0,11.0,255.54545454545453,INEFFICIENT,DEM
C00488338,ADPAC INDEPENDENT EXPENDITURES COMMITTEE,97417.12,278607.0,24.0,11608.625,EFFICIENT,REP
C00488403,TEXAS PATRIOTS PAC,650.28,15846.0,13.0,1218.923076923077,MODERATE,REP
C00488429,CITIZENS FOR STRENGTH AND SECURITY PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00488437,CONCERNED TAXPAYERS OF AMERICA,,0.0,0.0,0.0,INEFFICIENT,
C00488486,COMMUNICATIONS WORKERS OF AMERICA - WORKING VOICES,436168.95,11571187.0,70.0,165302.67142857143,EFFICIENT,DEM
C00488494,NEW PROSPERITY FOUNDATION; THE,8000.0,8000.0,1.0,8000.0,MODERATE,DEM
C00488742,NATIONAL ASSOCIATION OF REALTORS CONGRESSIONAL FUND,11750451.66,18400449.0,74.0,248654.7162162162,EFFICIENT,BIPARTISAN
C00488783,SPEECHNOW.ORG,0.0,0.0,0.0,0.0,INEFFICIENT,
C00489203,UNITED MINE WORKERS OF AMERICA POWER PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00489252,NEW POWER PAC,614.89,611.0,7.0,87.28571428571429,INEFFICIENT,DEM
C00489617,CAMPAIGN FOR AMERICAN VALUES PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00489625,FAITH FAMILY FREEDOM FUND,0.0,0.0,0.0,0.0,INEFFICIENT,
C00489641,ACCOUNTABILITY 2010,0.0,0.0,0.0,0.0,INEFFICIENT,
C00490136,THE LINCOLN CLUB OF ORANGE COUNTY FEDERAL IE COMMITTEE,0.0,0.0,0.0,0.0,INEFFICIENT,
C00490193,WORKING FAMILIES FOR HAWAII,0.0,0.0,0.0,0.0,INEFFICIENT,
C00490375,NATIONAL NURSES UNITED FOR PATIENT PROTECTION,9510616.89,11245461.0,233.0,48263.78111587983,EFFICIENT,DEM
C00490649,U.S. ISRAEL FRIENDSHIP PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00490730,RGA RIGHT DIRECTION PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00490847,WORKING FOR WORKING AMERICANS - FEDERAL,0.0,35018333.0,25.0,1400733.32,EFFICIENT,NON_PARTISAN
C00492116,COOPERATIVE OF AMERICAN PHYSICIANS INDEPENDENT EXPENDITURE COMMITTEE,150244.1,150243.0,8.0,18780.375,EFFICIENT,DEM
C00492215,CHRISTINEPAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00494997,DOWNTOWN FOR DEMOCRACY,0.0,0.0,0.0,0.0,INEFFICIENT,
C00495259,"IMMIGRATION911,  LLC",,0.0,0.0,0.0,INEFFICIENT,
C00496349,REPUBLICAN SUPER PAC INC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00498832,GOVERNMENT INTEGRITY FUND ACTION NETWORK; THE,,0.0,0.0,0.0,INEFFICIENT,
C00499525,KEEP CONSERVATIVES UNITED,0.0,0.0,0.0,0.0,INEFFICIENT,
C00502377,TEXANS FOR AMERICA'S FUTURE,,0.0,0.0,0.0,INEFFICIENT,
C00502849,CAMPAIGN FOR PRIMARY ACCOUNTABILITY INC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00503458,"LA FORWARD, INC.",0.0,0.0,0.0,0.0,INEFFICIENT,
C00503789,DGA ACTION,0.0,0.0,0.0,0.0,INEFFICIENT,
C00503870,COMMONWEALTH VALUES PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00505792,AMERICAN CONSERVATIVE UNION SUPER PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00507707,RESTORING AMERICA'S TRADITIONS PAC (RATPAC),,0.0,0.0,0.0,INEFFICIENT,
C00508200,1911 UNITED,0.0,0.0,0.0,0.0,INEFFICIENT,
C00508440,HUMAN RIGHTS CAMPAIGN EQUALITY VOTES,1437320.66,1489811.0,92.0,16193.597826086956,EFFICIENT,DEM
C00508556,CENTRIST INDEPENDENT VOTER POLITICAL ACTION COMMITTEE,0.0,0.0,0.0,0.0,INEFFICIENT,
C00508689,SMALLBIZADVOCATES.ORG,0.0,0.0,0.0,0.0,INEFFICIENT,
