CMTE_ID,CMTE_NM,CMTE_TP,TTL_RECEIPTS,TTL_DISBURSEMENTS,OFFICE_SEGMENT,TOTAL_DEM_DISB,TOTAL_REP_DISB,IMBALANCE_SCORE,PTY_GROUP
C00322958,MONTANA SHOOTING SPORTS ASSN POLITICAL COMMITTEE,O,2515.81,0.0,OTHER,,,,
C00381517,DEMOCRATIC ADVANCEMENT PAC,O,,,OTHER,,,,
C00389858,FAIR AND BALANCED PAC,O,0.2,0.0,OTHER,,,,
C00405878,AMERICANS FOR LEGAL IMMIGRATION PAC,O,128228.63,0.0,OTHER,,,,
C00419242,TEXAS RIGHT TO LIFE POLITICAL ACTION C,O,0.0,0.0,OTHER,,,,
C00427344,DRAFT GORE,U,,,OTHER,,,,
C00430876,WORKING FOR US POLITICAL ACTION COMMITTEE INC,O,0.0,0.0,OTHER,,,,
C00435818,YOUNG VOTERS,O,,,OTHER,,,,
C00447235,ASIAN PACIFIC AMERICANS FOR PROGRESS PAC,O,0.0,0.0,OTHER,,,,
C00452847,SCHLEP LABS,O,550506.01,0.0,OTHER,0.0,0.0,,NON_PARTISAN
C00455923,FEDUP POLITICAL ACTION COMMITTEE AKA FEDUP PAC,O,225721.25,0.0,OTHER,0.0,164190.0,1.0,REP
C00469890,PATRIOT MAJORITY PAC,O,12827.07,0.0,OTHER,,,,
C00473918,WOMEN VOTE,O,32504380.87,26409657.61,OTHER,22383938.0,30662380.0,0.15606063365227346,BIPARTISAN
C00479824,KEEP LIVINGSTON GREAT,O,165.24,11822.88,OTHER,0.0,23612.0,1.0,REP
C00483693,SIERRA CLUB INDEPENDENT ACTION,O,787317.99,41336.14,OTHER,80290.0,2066.0,0.9498275778328233,DEM
C00483883,RETIRED AMERICANS PAC,O,10615832.14,4187460.44,OTHER,3095804.0,5279108.0,0.2606957541762827,BIPARTISAN
C00484253,UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION WORKING FAMILIES ADVOCACY PROJECT,O,7377000.0,0.0,OTHER,0.0,0.0,,NON_PARTISAN
C00484642,SMP,O,389968278.37,0.0,OTHER,0.0,0.0,,NON_PARTISAN
C00485102,WOLF PAC,O,217111.48,0.0,OTHER,,,,
C00485854,LOUISIANA TRUTH PAC,O,0.0,0.0,OTHER,,,,
C00486845,LCV VICTORY FUND,O,84323489.3,46685018.06,OTHER,72194788.0,26613018.0,0.4613174995505922,BIPARTISAN
C00487363,AMERICAN CROSSROADS,O,62899589.74,60267523.21,OTHER,120106178.0,428766.0,0.9928856149798352,DEM
