CMTE_ID,CMTE_NM,OFFICE_SEGMENT,PTY_GROUP,IMBALANCE_SCORE,GRIDLOCK_PROPENSITY,TOTAL_DEM_DISB,TOTAL_REP_DISB,TOTAL_OTHER_DISB,TOTAL_PARTISAN_DISB,TTL_RECEIPTS,TTL_DISBURSEMENTS,IND_EXPEND,TTL_CONTRIB_TO_OTHER_CMTE,PTY_COORD_EXPEND,CMTE_TP,CMTE_DSGN,CVG_END_DT
C00473918,WOMEN VOTE,OTHER,BIPARTISAN,0.15606063365227346,0.0,22383938.0,30662380.0,14905070.0,53046318.0,32504380.87,26409657.61,,,,O,U,
C00479824,KEEP LIVINGSTON GREAT,OTHER,REP,1.0,0.0,0.0,23612.0,0.0,23612.0,165.24,11822.88,,,,O,U,
C00483693,SIERRA CLUB INDEPENDENT ACTION,OTHER,DEM,0.9498275778328233,0.0,80290.0,2066.0,2794.0,82356.0,787317.99,41336.14,,,,O,B,
C00483883,RETIRED AMERICANS PAC,OTHER,BIPARTISAN,0.2606957541762827,0.0,3095804.0,5279108.0,800000.0,8374912.0,10615832.14,4187460.44,,,,O,U,
C00486845,LCV VICTORY FUND,OTHER,BIPARTISAN,0.4613174995505922,0.0,72194788.0,26613018.0,30782410.0,98807806.0,84323489.3,46685018.06,,,,O,U,
C00487363,AMERICAN CROSSROADS,OTHER,DEM,0.9928856149798352,0.0,120106178.0,428766.0,1300000.0,120534944.0,62899589.74,60267523.21,,,,O,U,
C00487470,CLUB FOR GROWTH ACTION,OTHER,BIPARTISAN,0.41301613744013016,0.0,10961862.0,26387928.0,59217365.0,37349790.0,88619558.43,18476694.08,,,,O,U,
C00487827,BLUE AMERICA PAC INDEPENDENT EXPENDITURE COMMITTEE,OTHER,DEM,1.0,0.0,5622.0,0.0,0.0,5622.0,5657.46,2816.41,,,,O,U,
C00488338,ADPAC INDEPENDENT EXPENDITURES COMMITTEE,OTHER,REP,1.0,0.0,0.0,194832.0,181191.0,194832.0,181806.3,97417.12,,,,O,B,
C00488403,TEXAS PATRIOTS PAC,OTHER,REP,1.0,0.0,0.0,1292.0,15200.0,1292.0,28808.01,650.28,,,,O,U,
C00488486,COMMUNICATIONS WORKERS OF AMERICA - WORKING VOICES,OTHER,DEM,0.9879403989756217,0.0,867074.0,5260.0,11135020.0,872334.0,15145982.29,436168.95,,,,O,B,
C00488494,NEW PROSPERITY FOUNDATION; THE,OTHER,DEM,1.0,0.0,16000.0,0.0,0.0,16000.0,150013.13,8000.0,,,,O,U,
C00488742,NATIONAL ASSOCIATION OF REALTORS CONGRESSIONAL FUND,OTHER,BIPARTISAN,0.05924325703044939,0.0,10578120.0,11910414.0,7662364.0,22488534.0,20077753.89,11750451.66,,,,O,B,
C00489252,NEW POWER PAC,OTHER,DEM,1.0,0.0,1222.0,0.0,0.0,1222.0,91553.14,614.89,,,,O,U,
C00490375,NATIONAL NURSES UNITED FOR PATIENT PROTECTION,OTHER,DEM,1.0,0.0,22207934.0,0.0,385412.0,22207934.0,10820000.0,9510616.89,,,,O,B,
C00492116,COOPERATIVE OF AMERICAN PHYSICIANS INDEPENDENT EXPENDITURE COMMITTEE,OTHER,DEM,0.8573903866859665,0.0,260486.0,20000.0,20000.0,280486.0,752064.0,150244.1,,,,O,U,
C00508440,HUMAN RIGHTS CAMPAIGN EQUALITY VOTES,OTHER,DEM,0.8858774211698023,0.0,2714994.0,164296.0,50332.0,2879290.0,2070138.25,1437320.66,,,,O,U,
C00509463,PROTECTING OUR VOTE PAC,OTHER,DEM,1.0,0.0,72396.0,0.0,0.0,72396.0,205255.0,36204.0,,,,O,B,
C00509893,NATIONAL RIGHT TO LIFE VICTORY FUND,OTHER,REP,0.9984632471587536,0.0,440.0,572196.0,472.0,572636.0,600258.06,286596.43,,,,O,U,
