CMTE_ID,TTL_DISBURSEMENTS,PARTISAN_TOTAL,DISCREPANCY,DISCREPANCY_PCT
C00528448,3193.8,1091406.0,-1088212.2,34072.647003569415
C00688432,251.89,6894.0,-6642.11,2636.908968200405
C00883561,42645.57,378960.0,-336314.43,788.6268843399208
C00889907,15000.0,94316.0,-79316.0,528.7733333333333
C00626036,1496.42,8396.0,-6899.58,461.072426190508
C00873877,322770.78,1537298.0,-1214527.22,376.281651021818
C00881011,13628.01,63116.0,-49487.99,363.1343827895635
C00890723,379650.57,1741412.0,-1361761.43,358.6881036422518
C00689745,440775.53,2011518.0,-1570742.47,356.35881828557945
C00869073,2221032.8,10128862.0,-7907829.2,356.0428823923717
C00760132,12790.25,50994.0,-38203.75,298.69431793749146
C00821611,58365.99,230730.0,-172364.01,295.31583375866666
C00869321,543915.77,2102364.0,-1558448.23,286.52381783304423
C00872838,75000.0,289000.0,-214000.0,285.33333333333337
C00874404,44149.57,168430.0,-124280.43,281.49861935235157
C00801803,5390117.18,20219202.0,-14829084.82,275.116186249591
C00889188,184752.38,668608.0,-483855.62,261.89412011904795
C00742080,70635.58,247522.0,-176886.41999999998,250.4211333721617
C00763409,1422489.25,4584966.0,-3162476.75,222.31990505376405
C00880682,137043.6,434086.0,-297042.4,216.75028968882896
C00890020,142224.42,449868.0,-307643.57999999996,216.30854954444527
C00891275,589154.0,1862616.0,-1273462.0,216.15095543779725
C00839159,708842.18,2167666.0,-1458823.8199999998,205.80375451133563
C00685693,1748702.01,5344264.0,-3595561.99,205.61319020843354
C00853523,88309.38,258350.0,-170040.62,192.55102912057583
C00821280,15777.58,45990.0,-30212.42,191.48956937629217
C00874156,1249386.37,3562310.0,-2312923.63,185.1247688895469
C00802389,38902.02,110080.0,-71177.98000000001,182.96731120903237
C00758011,376547.63,1065492.0,-688944.37,182.96340624956264
C00885715,205271.67,579204.0,-373932.32999999996,182.164606543124
C00712885,39677.94,111600.0,-71922.06,181.26460194254034
C00744185,326389.3,918016.0,-591626.7,181.2641223226374
C00887703,504176.07,1410350.0,-906173.9299999999,179.733625596312
C00774323,25995.34,72504.0,-46508.66,178.91152798924733
C00541433,297920.66,813654.0,-515733.34,173.11096853773086
C00871566,27500.0,75000.0,-47500.0,172.72727272727272
C00887042,13188.05,35554.0,-22365.95,169.59254779895437
C00732172,562253.21,1510790.0,-948536.79,168.70277894900772
C00738732,184550.56,494226.0,-309675.44,167.79978343062194
C00883207,831874.7,2219182.0,-1387307.3,166.76878140421871
C00859355,5851515.84,15578096.0,-9726580.16,166.22325609221969
C00884023,30729.63,81788.0,-51058.369999999995,166.15354626788542
C00761064,788098.58,2096484.0,-1308385.42,166.017989779908
C00758938,42892.04,113764.0,-70871.95999999999,165.23336264724176
C00883405,59322.8,155940.0,-96617.2,162.8668909761508
C00720029,281485.92,735588.0,-454102.08,161.32319513530197
C00523498,11190.04,29188.0,-17997.96,160.83910334547505
C00888081,1578162.9,4078840.0,-2500677.1,158.45494150191973
C00826743,72549.0,185098.0,-112549.0,155.13515003652705
C00701797,791450.0,2018896.0,-1227446.0,155.088255733148
C00831248,85755.48,216510.0,-130754.52,152.47366115844727
C00874750,230724.6,581580.0,-350855.4,152.0667497093938
C00870311,607734.79,1519008.0,-911273.21,149.94586865760965
C00629477,98901.28,245802.0,-146900.72,148.53267824238475
C00625533,3547486.76,8799548.0,-5252061.24,148.05019991110552
C00865725,1956217.82,4793348.0,-2837130.1799999997,145.03140452937902
C00804856,36750840.41,89816522.0,-53065681.59,144.39311046492614
C00809467,51988.84,126032.0,-74043.16,142.42125810077704
C00489799,4102970.87,9825142.0,-5722171.13,139.46409348989602
C00883520,2109156.45,5040004.0,-2930847.55,138.95828116496526
C00687491,1841.84,4394.0,-2552.16,138.56578204404292
C00773788,123283.68,293628.0,-170344.32,138.17264377572118
C00887729,118220.55,281010.0,-162789.45,137.69979077241646
C00787671,54975.36,130636.0,-75660.64,137.62645665258034
C00884817,472660.62,1104254.0,-631593.38,133.62513255282406
C00490375,9510616.89,22207934.0,-12697317.11,133.5067667729385
C00685982,174828.46,407592.0,-232763.54,133.13824305264717
C00671685,233807.33,543620.0,-309812.67000000004,132.50768057613936
C00659219,156604.25,361240.0,-204635.75,130.67062356225964
C00684258,488742.82,1127058.0,-638315.1799999999,130.60348999091175
C00747121,2881703.92,6643858.0,-3762154.08,130.55310970323418
C00757294,410643.28,944086.0,-533442.72,129.90416402284725
C00523621,2466643.07,5668370.0,-3201726.93,129.80098210966534
C00780841,572011.45,1314014.0,-742002.55,129.7181288940982
C00773390,285478.06,654736.0,-369257.94,129.34722198966884
C00802207,182980.22,413958.0,-230977.78,126.23101010590105
C00866517,21299.33,48176.0,-26876.67,126.18551851161513
C00699801,400056.08,902636.0,-502579.92,125.62736704314055
C00868604,221077.51,498344.0,-277266.49,125.41596384001248
C00742635,119912.59,266238.0,-146325.41,122.02672796909818
C00872150,846216.09,1878300.0,-1032083.91,121.96458117453193
C00887778,249929.55,552252.0,-302322.45,120.96306739239118
C00494021,805408.36,1770816.0,-965407.64,119.86560953998541
C00876128,97823.0,213244.0,-115421.0,117.9896343395725
C00856559,26156.71,56984.0,-30827.29,117.85614475214965
C00753277,3623633.16,7874670.0,-4251036.84,117.31421621056144
C00681825,759000.0,1646000.0,-887000.0,116.8642951251647
C00489815,373597.96,809902.0,-436304.04,116.7843743043993
C00879973,1233000.0,2666000.0,-1433000.0,116.22060016220601
C00872549,61664.14,132610.0,-70945.86,115.05205456526272
C00834077,37764477.49,80778912.0,-43014434.51,113.90183942407302
C00787945,969235.5,2072202.0,-1102966.5,113.7975755118338
C00859660,741088.11,1582168.0,-841079.89,113.49256298282806
C00747998,4501895.04,9609528.0,-5107632.96,113.4551764227715
C00701888,3797221.39,8075230.0,-4278008.609999999,112.66155355771868
C00762658,222525.75,473050.0,-250524.25,112.58213937038748
C00531624,761674.76,1613344.0,-851669.24,111.81534228599092
C00486845,46685018.06,98807806.0,-52122787.94,111.64778360589114
C00876854,172790.48,365580.0,-192789.52,111.57415616878892
C00754051,9322389.74,19646900.0,-10324510.26,110.74960978835884
C00519363,950000.0,2000000.0,-1050000.0,110.5263157894737
C00854299,1649090.51,3470884.0,-1821793.49,110.47261984425585
C00800995,307153.99,645384.0,-338230.01,110.11740723276948
C00556860,2095839.67,4402086.0,-2306246.33,110.03925362286897
C00640300,110841.62,232176.0,-121334.38,109.46644410285596
C00754192,244660.9,508444.0,-263783.1,107.81579729331494
C00855213,912664.0,1889328.0,-976664.0,107.01243831245672
C00868679,918157.07,1894464.0,-976306.93,106.33332377432983
C00888172,4390195.1,9041884.0,-4651688.9,105.95631387771355
C00692129,2322.21,4782.0,-2459.79,105.92452878938596
C00865055,1457640.5,2985280.0,-1527639.5,104.80221289131305
C00685289,865721.68,1771932.0,-906210.32,104.67686566426289
C00882019,215000.0,440000.0,-225000.0,104.65116279069768
C00620971,11308766.16,23115654.0,-11806887.84,104.40473941146556
C00836221,57809173.64,118135110.0,-60325936.36,104.35356979096926
C00875815,1929315.92,3935382.0,-2006066.08,103.97810224880124
C00808121,2995931.0,6107864.0,-3111933.0,103.87198503570343
