,CMTE_NM,PTY_GROUP,OFFICE_SEGMENT,TTL_DISBURSEMENTS,TOTAL_DEM_DISB,TOTAL_REP_DISB,IMBALANCE_SCORE
1,MAKE AMERICA GREAT AGAIN INC.,BIPARTISAN,OTHER,376948786.7,558256150.0,181871618.0,0.508539941714496
2,WINSENATE,REP,OTHER,311285589.2,48452998.0,574117896.0,0.8443454441350738
3,SENATE LEADERSHIP FUND,DEM,OTHER,211093032.88,394451244.0,21359762.0,0.8972621614541872
4,AMERICA PAC,BIPARTISAN,OTHER,173734996.5,148449826.0,197608618.0,0.1420534388116245
5,PRESERVE AMERICA PAC,DEM,OTHER,112321879.52,224533752.0,110000.0,0.9990206716276712
6,RIGHT FOR AMERICA,BIPARTISAN,OTHER,69583233.16,102239866.0,36926586.0,0.4693177059655153
7,AMERICAN CROSSROADS,DEM,OTHER,60267523.21,120106178.0,428766.0,0.9928856149798352
8,DEFEND AMERICAN JOBS,REP,OTHER,57809173.64,0.0,118135110.0,1.0
9,KEYSTONE RENEWAL PAC,BIPARTISAN,OTHER,54394982.49,70040184.0,26428054.0,0.4520879711724391
10,WIN IT BACK PAC,BIPARTISAN,OTHER,54062372.99,86429956.0,21123886.0,0.607194208831703
11,LCV VICTORY FUND,BIPARTISAN,OTHER,46685018.06,72194788.0,26613018.0,0.4613174995505922
12,RESTORATION PAC,DEM,OTHER,42999847.59,83718514.0,2281146.0,0.9469498832902362
13,FAIRSHAKE,BIPARTISAN,OTHER,40661820.61,50519446.0,26242976.0,0.3162546121851132
14,UNITED DEMOCRACY PROJECT ('UDP'),DEM,OTHER,37859810.12,69928738.0,6162406.0,0.8380256708980482
15,NEVER BACK DOWN INC.,REP,OTHER,37764477.49,0.0,80778912.0,1.0
16,REPUBLICAN ACCOUNTABILITY PAC,BIPARTISAN,OTHER,36750840.41,39380754.0,50435768.0,0.1230844142461895
17,PROTECT PROGRESS,DEM,OTHER,34535912.31,69074492.0,0.0,1.0
18,LAST BEST PLACE PAC,REP,OTHER,33816255.22,3577340.0,64055102.0,0.8942123071646593
19,BLACKPAC,DEM,OTHER,29393201.45,57403168.0,1446180.0,0.9508514520840572
20,MARYLAND'S FUTURE,DEM,OTHER,27014740.16,53313460.0,715966.0,0.973497182812936
